ra,dec,simbad_name,obsid
17.617468792,-46.0724678731,ESO_243-49_HLX-1,00031287058
17.618386998,-46.0725838066,ESO_243-49_HLX-1,00031287058
17.6167249955,-46.073448467,ESO_243-49_HLX-1,00031287059
17.6176043382,-46.0726352122,ESO_243-49_HLX-1,00031287059
17.6184776708,-46.0729689049,ESO_243-49_HLX-1,00031287060
17.6177737304,-46.0728056837,ESO_243-49_HLX-1,00031287060
17.617420806,-46.0732814723,ESO_243-49_HLX-1,00031287061
17.618302085,-46.0726723115,ESO_243-49_HLX-1,00031287061
17.6179275329,-46.0739779901,ESO_243-49_HLX-1,00031287061
17.6182975686,-46.072975211,ESO_243-49_HLX-1,00031287061
17.6182702371,-46.0729800823,ESO_243-49_HLX-1,00031287061
17.6172555557,-46.0738376426,ESO_243-49_HLX-1,00031287063
17.6179419107,-46.0728610149,ESO_243-49_HLX-1,00031287063
17.6165618579,-46.072475531,ESO_243-49_HLX-1,00031287063
17.617201239,-46.0727061457,ESO_243-49_HLX-1,00031287063
17.6164343646,-46.0724685318,ESO_243-49_HLX-1,00031287064
17.6178365357,-46.0718296618,ESO_243-49_HLX-1,00031287065
17.6167389425,-46.0721679135,ESO_243-49_HLX-1,00031287065
17.6170475917,-46.0715881696,ESO_243-49_HLX-1,00031287065
17.6202044758,-46.0709206891,ESO_243-49_HLX-1,00031287067
17.6183744654,-46.071692336,ESO_243-49_HLX-1,00031287067
17.6168892701,-46.0738887916,ESO_243-49_HLX-1,00031287070
17.6165399921,-46.0724954539,ESO_243-49_HLX-1,00031287070
17.6193485327,-46.0727147744,ESO_243-49_HLX-1,00031287070
17.6186914113,-46.0730428027,ESO_243-49_HLX-1,00031287070
17.6174252921,-46.0728647765,ESO_243-49_HLX-1,00031287071
17.617932798,-46.0716651234,ESO_243-49_HLX-1,00031287071
17.6179071319,-46.0738310945,ESO_243-49_HLX-1,00031287071
17.615688848,-46.0740292616,ESO_243-49_HLX-1,00031287071
17.619587853,-46.0723907785,ESO_243-49_HLX-1,00031287072
17.61900141,-46.0726948747,ESO_243-49_HLX-1,00031287098
17.660855363,-46.1088607579,ESO_243-49_HLX-1,00031287101
17.6170299897,-46.0733361315,ESO_243-49_HLX-1,00031287102
17.6167591654,-46.0734395572,ESO_243-49_HLX-1,00031287103
17.6176952924,-46.0718311928,ESO_243-49_HLX-1,00031287103
17.6169857307,-46.0719723235,ESO_243-49_HLX-1,00031287103
17.6312698336,-46.0815721639,ESO_243-49_HLX-1,00031287103
17.6176231523,-46.0727871195,ESO_243-49_HLX-1,00031287104
17.6182269834,-46.0725617999,ESO_243-49_HLX-1,00031287106
17.6191766943,-46.0727719293,ESO_243-49_HLX-1,00031287107
17.6172906684,-46.073165752,ESO_243-49_HLX-1,00031287108
17.6179208133,-46.0726192322,ESO_243-49_HLX-1,00031287109
17.617341006,-46.0718809663,ESO_243-49_HLX-1,00031287111
17.6185576898,-46.0718516132,ESO_243-49_HLX-1,00031287112
17.6184410941,-46.0724354776,ESO_243-49_HLX-1,00031287113
17.6176157034,-46.0729417055,ESO_243-49_HLX-1,00031287114
17.6180470889,-46.0730333229,ESO_243-49_HLX-1,00031287115
17.6186998073,-46.0723293614,ESO_243-49_HLX-1,00031287116
17.6185464394,-46.0716307544,ESO_243-49_HLX-1,00031287117
17.6169291346,-46.0721255638,ESO_243-49_HLX-1,00031287117
17.6164268368,-46.0743140616,ESO_243-49_HLX-1,00031287117
17.6178443458,-46.0720542635,ESO_243-49_HLX-1,00031287118
17.6176005793,-46.0725674362,ESO_243-49_HLX-1,00031287118
17.617030909,-46.0721468549,ESO_243-49_HLX-1,00031287118
17.6193235747,-46.0725703576,ESO_243-49_HLX-1,00031287119
17.6163039986,-46.0740486673,ESO_243-49_HLX-1,00031287119
17.6191601268,-46.0722247472,ESO_243-49_HLX-1,00031287119
17.6178374892,-46.0720900548,ESO_243-49_HLX-1,00031287120
17.6216416537,-46.0720058648,ESO_243-49_HLX-1,00031287120
17.618336335,-46.0718850601,ESO_243-49_HLX-1,00031287120
17.6172496839,-46.0728038499,ESO_243-49_HLX-1,00031287121
17.6199754474,-46.0732306556,ESO_243-49_HLX-1,00031287121
17.6195115415,-46.0736351412,ESO_243-49_HLX-1,00031287121
17.6140631774,-46.0711958813,ESO_243-49_HLX-1,00031287122
17.6187996608,-46.0726427214,ESO_243-49_HLX-1,00031287122
17.6168874898,-46.0719466044,ESO_243-49_HLX-1,00031287123
17.6189998544,-46.0729001154,ESO_243-49_HLX-1,00031287124
17.6186347035,-46.0730530573,ESO_243-49_HLX-1,00031287124
17.6179926884,-46.0726520882,ESO_243-49_HLX-1,00031287125
17.5609905642,-46.0727658147,ESO_243-49_HLX-1,00031287126
17.6162122407,-46.072077083,ESO_243-49_HLX-1,00031287127
17.6177981334,-46.0721877617,ESO_243-49_HLX-1,00031287128
17.6177367649,-46.0731349965,ESO_243-49_HLX-1,00031287129
17.5936055143,-46.0977298278,ESO_243-49_HLX-1,00031287130
17.6176726,-46.0726833626,ESO_243-49_HLX-1,00031287131
17.6184275419,-46.0736314501,ESO_243-49_HLX-1,00031287132
17.6252341748,-46.0723889698,ESO_243-49_HLX-1,00031287132
17.6173927763,-46.0725678449,ESO_243-49_HLX-1,00031287133
17.6176436218,-46.0733768611,ESO_243-49_HLX-1,00031287134
17.6169281741,-46.0730281032,ESO_243-49_HLX-1,00031287135
17.6178977768,-46.0730201022,ESO_243-49_HLX-1,00031287136
17.618125298,-46.0731785697,ESO_243-49_HLX-1,00031287137
17.6205369042,-46.0738109192,ESO_243-49_HLX-1,00031287138
17.6180992147,-46.07267091,ESO_243-49_HLX-1,00031287139
17.6184893379,-46.0723926954,ESO_243-49_HLX-1,00031287140
17.6190784946,-46.0729508417,ESO_243-49_HLX-1,00031287140
17.6180967043,-46.0717699442,ESO_243-49_HLX-1,00031287141
17.6198160884,-46.0730843763,ESO_243-49_HLX-1,00031287143
17.6182507951,-46.0729306352,ESO_243-49_HLX-1,00031287146
17.6176141424,-46.0334985893,ESO_243-49_HLX-1,00031287148
17.6182368727,-46.07168857,ESO_243-49_HLX-1,00031287149
17.6181345906,-46.0731520198,ESO_243-49_HLX-1,00031287151
17.6193744487,-46.0737108854,ESO_243-49_HLX-1,00031287154
17.6191064105,-46.072254702,ESO_243-49_HLX-1,00031287155
17.6185115915,-46.072709293,ESO_243-49_HLX-1,00031287157
17.6166124936,-46.0728954758,ESO_243-49_HLX-1,00031287158
17.6178975529,-46.0712050474,ESO_243-49_HLX-1,00031287159
17.6140433467,-46.073199007,ESO_243-49_HLX-1,00031287160
17.6199891568,-46.0727239237,ESO_243-49_HLX-1,00031287161
