,ndata,mean,std,max,min,max/min,sigma_xs,F_var,kurtosis,von_neumann,skew,t_diff_max,t_diff_min,t_diff_mean,y_diff_max,y_diff_min,y_diff_mean,ls_z_fal,ls_pow[0],ls_freq[0],ls_period[0],ls_fap[0],ls_pow[1],ls_freq[1],ls_period[1],ls_fap[1],ls_pow[2],ls_freq[2],ls_period[2],ls_fap[2],simbad_name,readable_name,FILTER
0,69,16.210451126098633,0.05093416,16.371296,16.091143,1.0174104,-0.0014317581544805698,,1.091494514212644,1.660461890381807,0.18037622224136826,1751.9840505163156,0.0,72.88165857836665,0.17731667,-0.17444229,0.0008926111,0.24068184595222264,0.21194106851468078,0.016133316090558517,61.983537320341505,0.028000000000000025,0.18237650852957502,0.36637878369044485,2.729415688122663,0.06999999999999995,0.17082062463857942,0.9362389343965164,1.068103411705029,0.09199999999999997,RX_J133001+47137,M51 ULX-7,B
1,3,19.975053787231445,0.113492206,20.122791,19.846863,1.0139029,-0.01754320226609707,,-1.5000057338905621,1.5444993247078826,0.25323194574277114,520.2589558134277,11.729886057408294,265.994420935418,-0.10864258,-0.16728592,-0.13796425,,,,,,,,,,,,,,NAME_NGC_1313_X-2,NGC1313 X-2,B
2,101,18.966955184936523,0.16478504,19.638954,18.57779,1.0571201,0.01028358786929362,0.00534656330773393,3.1552450366225813,1.9877455815690386,1.2291731621110378,1028.219430301273,0.0,40.78503651334729,1.0611649,-0.85933685,-0.00090272905,0.20196043555637905,0.14719575992619593,0.8074232084047892,1.2385078724398833,0.19399999999999995,0.14521538501660022,0.304836923032902,3.2804425069336727,0.19799999999999995,0.1443200659101751,0.8360121248231529,1.1961549005183825,0.18899999999999995,NAME_NGC_1313_X-2,NGC1313 X-2,UVM2
3,60,19.0019588470459,0.15823755,19.656038,18.70572,1.0508035,0.010618204375108083,0.005422844695896982,3.094343666077771,1.55596099006697,0.9268801616124677,1027.1913395837983,0.0,60.210263262033116,0.51483345,-0.84409904,-0.0070255734,0.35281680906648494,0.36536059859544273,0.0026889963561804123,371.8859632150826,0.0030000000000000027,0.31924354163959096,0.2527167569494208,3.9569991799164383,0.017000000000000015,0.2814500313423868,0.6033524004924744,1.6574061844848382,0.06299999999999994,NAME_NGC_1313_X-2,NGC1313 X-2,UVW1
4,73,18.889930725097656,0.14201595,19.184526,18.511398,1.0363629,0.010418227809953363,0.005403393047003554,-0.08445135738535026,1.5944209629196318,-0.12599832078912618,1025.6584196167823,0.0,56.6432860481017,0.4727745,-0.4924202,-0.0009786023,0.24729306405766419,0.25387554581249283,0.4905156992521804,2.038670732709591,0.013000000000000012,0.24054414083221626,0.240510586570592,4.157821134856744,0.027000000000000024,0.2273926488543565,0.7606271470062387,1.3147045880966932,0.04800000000000004,NAME_NGC_1313_X-2,NGC1313 X-2,UVW2
5,2,19.575456619262695,0.12412262,19.69958,19.451334,1.0127624,-0.07706020213663578,,-2.0000000044001416,4.0,0.0,531.985715302777,531.985715302777,531.985715302777,0.24824524,0.24824524,0.24824524,,,,,,,,,,,,,,NAME_NGC_1313_X-2,NGC1313 X-2,V
6,66,16.41122055053711,0.064346425,16.630505,16.260271,1.0227692,-0.00041165019413738537,,1.3004194193017744,1.5859600350506349,-0.04243962705525784,2194.3017402137702,0.0,49.41835404114849,0.22342682,-0.17385674,-0.00027955862,0.2650790981527717,0.30165714647022773,0.9627105783527494,1.038733781975321,0.0030000000000000027,0.25909921316634577,0.5915622708582047,1.6904391122666718,0.013000000000000012,0.24428770423406584,0.46691222697226625,2.1417301630428245,0.018000000000000016,[SK2009]_X2,NGC1365 X-2,B
7,76,15.771929740905762,0.068510346,16.018288,15.520921,1.0320449,0.0003806788621372303,0.0012370707761670252,3.8159640696909607,1.8543652538260131,0.12144548737507113,2166.051374509145,0.0,71.87896543394135,0.21959591,-0.29014206,0.00037821452,0.6238186541676259,0.39949154433765144,0.001333894622092977,749.6844079264131,0.08299999999999996,0.35186990717110683,0.5107457897286115,1.9579211813598254,0.14800000000000002,0.46691222697226625,0.24428770423406584,101.03605651855469,100.0,[SK2009]_X2,NGC1365 X-2,U
8,103,15.697285652160645,0.058825288,16.005644,15.468107,1.0347513,0.0021860566130360065,0.002978558546286713,10.060556180683914,2.244259815385251,1.5508203314901066,1795.822203337506,0.0,52.83197289722682,0.35746193,-0.32273293,-5.7388756e-05,0.18201955724819116,0.11895040363859175,0.2545229504511252,3.928918780124015,0.21599999999999997,0.11846398580944517,0.7236387598058643,1.381904971851255,0.22499999999999998,0.1112047086987994,0.28217257687274555,3.5439304948864003,0.30800000000000005,[SK2009]_X2,NGC1365 X-2,UVM2
9,59,15.708022117614746,0.061845902,15.9493685,15.598555,1.0224901,0.002072396869692257,0.0028981106291213012,4.226988501077587,1.601488325393236,1.9424872292536202,2164.9922024383195,0.0,92.92180670092998,0.20314884,-0.23727798,-0.00010503572,0.2994431763197744,0.35665895384457214,0.4865027544680399,2.055486820610989,0.0050000000000000044,0.31142894950158523,0.940499597559227,1.0632646761308433,0.01100000000000001,0.27923482722943327,0.9809117736362503,1.019459677084912,0.02400000000000002,[SK2009]_X2,NGC1365 X-2,UVW1
10,68,15.69378662109375,0.0501873,15.9738455,15.623359,1.0224335,0.0016179660691277068,0.002563049308691361,12.135947110244711,1.8453644106811793,2.661778573373465,2423.299651899193,0.0,84.11182896555096,0.34827232,-0.21666527,-0.001294321,0.28515291911204776,0.24835405294136476,0.4458590752091025,2.2428611541236703,0.03200000000000003,0.24358453604215305,0.05334679983513572,18.745266878058757,0.026000000000000023,0.20481937584681767,0.009481956041083008,105.46347142585806,0.08199999999999996,[SK2009]_X2,NGC1365 X-2,UVW2
11,64,16.0908260345459,0.10299504,16.470596,15.88846,1.036639,-0.0016358327120542526,,3.7078107578178745,1.9842342802030182,1.3570565341224645,2194.3031305658515,0.0,50.98718256064996,0.4102459,-0.4378872,-0.0023510342,0.20273579329951733,0.17025044047607504,0.5202092314872636,1.9223034492122102,0.04700000000000004,0.14991693406054699,0.13754225262640232,7.270493109606393,0.10499999999999998,0.14434412831128482,0.2383456757919953,4.195586920874963,0.11199999999999999,[SK2009]_X2,NGC1365 X-2,V
12,83,18.78336524963379,0.23124287,19.492119,17.625456,1.1059072,0.02496273272547377,0.008411484709309943,6.842397119280211,1.4100970514490496,-0.8258215735024271,1933.931144066206,1.3298924326372799,61.657624104367066,0.8162308,-1.2265224,-0.005484139,0.7010803346751879,0.4465073495524515,0.19965800321905897,5.00856456479147,0.06899999999999995,0.4182020412148932,0.3997005205983463,2.5018731486839534,0.09499999999999997,0.37421472869896666,0.0016724783063966553,597.9150797803137,0.19499999999999995,[LB2005]_NGC_6946_ULX3,NGC6946 ULX-3,B
13,89,18.347679138183594,0.17752255,18.832008,17.497402,1.0762745,0.0017199005638615476,0.0022603231486602875,4.92231900055955,1.9763958908423434,-0.8304850600981506,1933.9324665479144,1.3297076565941097,61.491656199611995,0.6053829,-0.97646904,-0.000790661,0.6191854859976064,0.45134236736862365,0.19962266067430187,5.009451314906422,0.06499999999999995,0.36620877381591627,0.39916931958396984,2.505202556755213,0.17800000000000005,0.31481674677461313,0.46166856022413444,2.1660560977219507,0.30900000000000005,[LB2005]_NGC_6946_ULX3,NGC6946 ULX-3,U
14,24,19.3325252532959,0.32888994,19.984934,18.642653,1.0720005,0.040468146403630584,0.010405622590709368,-0.6187461558635028,0.660355481024524,-0.19629420750295926,2658.6041147805663,1.096093462947465,208.45696333331358,0.40791512,-0.49154854,-0.04674041,0.5736210270505131,0.540560476429964,0.5240565622044191,1.9081909704432425,0.020000000000000018,0.5379244600013823,0.1409934462682854,7.092528244874434,0.02100000000000002,0.5204420316616233,0.3672105079825022,2.72323361739869,0.029000000000000026,[LB2005]_NGC_6946_ULX3,NGC6946 ULX-3,UVM2
15,69,18.975011825561523,0.24708553,19.457521,18.302816,1.0630889,-0.011829731527014054,,0.1864468974667144,1.8055079780374745,-0.46358038360775267,1933.9356822745249,1.228938971995376,70.42731585706872,1.102602,-0.9386883,-0.0067243297,0.584534199504252,0.4699425511656074,0.6672271259992191,1.4987400257482493,0.17200000000000004,0.46186121325318824,0.4578331054538618,2.1842020336399095,0.18000000000000005,0.45265573830706196,0.9539223695261193,1.0483033336316148,0.241,[LB2005]_NGC_6946_ULX3,NGC6946 ULX-3,UVW1
