,ndata,mean,std,max,min,max/min,sigma_xs,F_var,kurtosis,von_neumann,skew,t_diff_max,t_diff_min,t_diff_mean,y_diff_max,y_diff_min,y_diff_mean,ls_z_fal,ls_pow[0],ls_freq[0],ls_period[0],ls_fap[0],ls_pow[1],ls_freq[1],ls_period[1],ls_fap[1],ls_pow[2],ls_freq[2],ls_period[2],ls_fap[2],simbad_name,readable_name,curve
0,144.0,0.02244461899097222,0.00966353207798269,0.05972413,0.0002615167,228.37596987114014,-2.6850110061310084e-05,,1.207880860140511,1.314407041265487,0.7301962282596677,1387.6795718368012,0.3368889698977,31.65466788764686,0.03952139,-0.046089097,-9.364928671328675e-05,0.2623156909088418,0.4279910900626149,0.002723140951566917,367.2230037980928,0.0,0.23826009538901097,0.2725935238277395,3.6684657285986435,0.050000000000000044,0.2009980359687343,0.903616576911809,1.1066640714113392,0.17800000000000005,ESO_243-49_HLX-1,ESO 243-49 HLX-1,PC
1,144.0,0.0015781666666666667,0.0014810685519433446,0.007323,-0.000741,-9.882591093117409,-2.6944353010877984e-07,,1.1386550964019975,1.8956729649136803,0.9252210194674771,1387.6795718368012,0.3368889698977,31.65466788764686,0.005842999999999999,-0.006291,-1.839860139860139e-05,0.24100602194885204,0.13400038328794603,0.004402098801811605,227.16436977481465,0.04800000000000004,3.6684657285986435,0.2725935238277395,0.23826009538901097,28.0,1.1066640714113392,0.903616576911809,0.2009980359687343,101.03605651855469,ESO_243-49_HLX-1,ESO 243-49 HLX-1,HARD
2,144.0,0.020886312499999997,0.009420408296816686,0.052401,0.00056,93.5732142857143,6.14805432116356e-05,0.37541107139091046,0.4755303082239042,1.24384154523113,0.6188982260518703,1387.6795718368012,0.3368889698977,31.65466788764686,0.037233,-0.043517,-7.523076923076927e-05,0.23360510932907322,0.4466616086539242,0.002723140951566917,367.2230037980928,0.0,0.2220463498089668,0.27254934072641723,3.6690604252966867,0.015000000000000013,0.16690993488740838,0.9596407493883948,1.042056624457983,0.17100000000000004,ESO_243-49_HLX-1,ESO 243-49 HLX-1,SOFT
3,689.0,0.2812986221480407,0.11542085117004015,0.7060996,0.09124736,7.7383016889474945,0.010467877145430446,0.3637154115150141,-0.7980141064098003,0.3834155124354324,0.47780620291721204,1123.3207604085983,0.05529451379698003,7.941276520611482,0.41966210000000004,-0.3264131,2.088343023255832e-05,0.05447215087743407,0.3212149950806185,0.001549088689326148,645.5408311289129,0.0,0.04081303953355374,0.33418701668310646,2.99233647651923,0.10999999999999999,0.03800154768751952,0.05762934682583671,17.352270242141188,0.16900000000000004,NAME_Holmberg_IX_X-1,Holmberg IX X-1,PC
4,683.0,0.16308469399707176,0.07512040478766559,0.44661,0.052214,8.553453096870571,0.005253990683669609,0.44445873525472007,-0.49588888555854327,0.4285463936478448,0.662946273328519,1123.3207604085983,0.05529451379698003,7.696600423839009,0.278529,-0.22991099999999998,-0.00012868475073313777,0.03646201535887793,0.2831335987776073,0.00153342665870908,652.1342213013651,0.0,0.042386238217361843,0.33465837502252954,2.9881218419610116,0.0030000000000000027,0.030861152394361727,0.05761942963154949,17.355256836010927,0.07499999999999996,NAME_Holmberg_IX_X-1,Holmberg IX X-1,HARD
5,683.0,0.1194669692532943,0.045104291179637254,0.341951,0.035072,9.749971487226277,0.0017079837048742266,0.34593461065667847,0.06136849884550033,0.5529383259923514,0.5146244319914542,1123.3207604085983,0.05529451379698003,7.696600423839009,0.228126,-0.235546,-4.9978005865103e-05,0.042141222414261555,0.30929725790607154,0.0015715285629025856,636.3231465249461,0.0,0.04497748225836556,0.33469647692672305,2.9877816736593124,0.0040000000000000036,0.032815009050427016,0.5961136415983658,1.677532487461098,0.128,NAME_Holmberg_IX_X-1,Holmberg IX X-1,SOFT
6,220.0,0.1616794115909091,0.07727847354834162,0.3302447,0.0242563,13.614801103218545,0.0048331107944393535,0.4299902969981763,-0.7161589872392353,0.7076796908038715,0.06512272434246252,1378.1612510392006,0.06672064820304513,25.93237834545844,0.21631491000000003,-0.25756188,0.00021038310502283092,0.2700458614520153,0.5393748969989562,0.002514300226132994,397.7249771551764,0.0,0.3021734781262102,0.03442025382791189,29.052661987898688,0.0,0.23606925312223684,0.5139251812471408,1.9458085271737469,0.030000000000000027,Holmberg_II_X-1,Holmberg II X-1,PC
7,220.0,0.05744993181818181,0.03030505164429741,0.133261,0.000987,135.016210739615,0.0008156406389267747,0.49711848283744164,-0.9800161174853739,0.7516807531443213,-0.3639209132528374,1378.1612510392006,0.06672064820304513,25.93237834545844,0.083949,-0.098913,3.830136986301398e-05,0.2932614482165464,0.676894772598581,0.0010352162843286744,965.9817133271704,0.0,0.391682760042993,0.03442025382791189,29.052661987898688,0.0,0.2952280386916887,0.5146295069337143,1.943145479469763,0.007000000000000006,Holmberg_II_X-1,Holmberg II X-1,HARD
8,220.0,0.10473073636363636,0.051168163291547754,0.234259,0.020226,11.58207257984772,0.0024448345471792025,0.47211802298794153,-0.42671410744086025,0.7327962387711782,0.5149853075686328,1378.1612510392006,0.06672064820304513,25.93237834545844,0.149408,-0.186299,0.0001769086757990867,0.22924502498993862,0.41413363870902,0.002514300226132994,397.7249771551764,0.0,0.24583440264088685,0.03589933776971621,27.85566704362929,0.007000000000000006,0.20207412077597817,0.5139251812471408,1.9458085271737469,0.041000000000000036,Holmberg_II_X-1,Holmberg II X-1,SOFT
9,27.0,0.5092615555555556,0.035508492754888245,0.5656979,0.4364593,1.2961068764029084,-0.00027902025106743664,,-0.808888008870873,2.1931010472902117,-0.11442534531859389,1274.7738872094997,0.7406366260984214,161.96988114068068,0.10028549999999997,-0.09875070000000002,0.0044314346153846145,0.7089129463210092,0.7346598373286977,0.1251921304980966,7.987722519149906,0.010000000000000009,0.6549789112705575,0.447474271056446,2.234765358998387,0.03500000000000003,0.6439942353325843,0.4885550331523747,2.046852313745607,0.04800000000000004,[LM2005]_NGC_598_ULX1,M33 ULX-1,PC
