simbad_name,xrt_curve,uvot_filter,include_bad,include_UL,r_mean,r_std,m_mean,m_std,c_mean,c_std
Holmberg_II_X-1,FULL,U,False,False,0.07260129105321474,0.04346444074623895,0.25804258174730677,0.1548512591134046,4.577567188547222,0.025400245164730897
Holmberg_II_X-1,FULL,U,False,True,0.24211162961627805,0.04948011947437276,1.4567590381366449,0.5402130139622646,4.34177702557917,0.1045184044084614
Holmberg_II_X-1,FULL,U,True,False,0.07273539101690617,0.04304460055983978,0.2586744777357505,0.1533001926808126,4.57728793683083,0.02529355672532411
Holmberg_II_X-1,FULL,U,True,True,0.24264773818186144,0.0488802495554846,1.4693028214964197,0.5367198332248341,4.3392273744697345,0.10394792692168708
Holmberg_II_X-1,FULL,UVM2,False,False,0.05941247637448664,0.09178588006370327,0.1865946996450869,0.2947315262829407,1.9687408715798236,0.05969202726876715
Holmberg_II_X-1,FULL,UVM2,False,True,0.06180077307997825,0.0904979985499316,0.19413190913069253,0.28963687443852165,1.967263872220241,0.058902985627020406
Holmberg_II_X-1,FULL,UVM2,True,False,0.00993002352783371,0.10251605753385604,0.028079962826064116,0.32686465385423763,2.0084435430910075,0.06720112897115456
Holmberg_II_X-1,FULL,UVM2,True,True,0.010089870757363112,0.10064190253113846,0.028511911883888467,0.3195060684534226,2.0079843848294376,0.06598406717750174
Holmberg_II_X-1,FULL,UVW1,False,False,-0.1559260142545127,0.04140499677165096,-0.7855775076158972,0.21159393522130585,3.182131063719645,0.030848449457254838
Holmberg_II_X-1,FULL,UVW1,False,True,0.2351781466990642,0.049373404166342866,1.869790291582473,0.5769930704894357,2.6975755159437065,0.10222731990907578
Holmberg_II_X-1,FULL,UVW1,True,False,-0.1555918241418237,0.041194956951028414,-0.7833424508649633,0.21083464909751837,3.1819330365871172,0.030798062819306245
Holmberg_II_X-1,FULL,UVW1,True,True,0.23476020358657942,0.05099161617817614,1.8636688185350456,0.5930207416892258,2.699124935101671,0.104614243235416
Holmberg_II_X-1,FULL,UVW2,False,False,-0.03846370570896312,0.03677052497685411,-0.2028960721172683,0.1943024322256554,3.773394705667866,0.03137937372343561
Holmberg_II_X-1,FULL,UVW2,False,True,0.08826862091903787,0.053843920668334384,0.5873088425734113,0.39354011268638744,3.605614129234876,0.07937346416823508
Holmberg_II_X-1,FULL,UVW2,True,False,-0.046605428104427825,0.046146068204570956,-0.23809187468205958,0.23611509501617475,3.7817253834381654,0.041882924150584915
Holmberg_II_X-1,FULL,UVW2,True,True,0.06636551969410136,0.0561279077067272,0.430006162999637,0.372111706208161,3.6401628472929617,0.07364426581939286
Holmberg_II_X-1,HARD,U,False,False,0.02054571817724057,0.050091055271607246,0.16851053976174005,0.41546816160785055,4.610908668881515,0.025007191179314735
Holmberg_II_X-1,HARD,U,True,False,0.020624556942665895,0.04915820226577512,0.169225824476307,0.40636631835478787,4.6109171076666735,0.024471506181180484
Holmberg_II_X-1,HARD,UVM2,False,False,-0.07126105398322445,0.12417542283031835,-0.6212630526282533,1.0598142704283535,2.055233378778987,0.08264114507734344
Holmberg_II_X-1,HARD,UVM2,True,False,-0.09830072156551657,0.12996797206309796,-0.8275022902968736,1.0911913883155555,2.0777391462336103,0.08525733363645167
Holmberg_II_X-1,HARD,UVW1,False,False,-0.18796261188585806,0.051301944372342034,-2.381264382944453,0.6355846640507399,3.1392709738674496,0.02813276005033
Holmberg_II_X-1,HARD,UVW1,True,False,-0.18862635046142084,0.05162960238350857,-2.386260627801843,0.637836116120774,3.1398183936288393,0.028353476789211806
Holmberg_II_X-1,HARD,UVW2,False,False,-0.1759258227932572,0.05028729079604854,-2.4540233317911304,0.699138556369515,3.852565391408875,0.03641035221260791
Holmberg_II_X-1,HARD,UVW2,True,False,-0.17412765012384185,0.055699849270149086,-2.3702108799926247,0.7668114798880495,3.8462717654904837,0.04455954573337823
Holmberg_II_X-1,HR,U,False,False,-0.06040539462012858,0.05086365347997301,-0.06806253569465619,0.05757079509653852,4.65432660690972,0.03318290376465401
Holmberg_II_X-1,HR,U,True,False,-0.06085233421221807,0.05147025851672659,-0.0686942690303129,0.05844915516254676,4.654487831154788,0.03370532552574557
Holmberg_II_X-1,HR,UVM2,False,False,-0.24455597068008048,0.10645614997059907,-0.21825252637896342,0.10330652452073716,2.1472653967159587,0.06622218893102441
Holmberg_II_X-1,HR,UVM2,True,False,-0.1711606343045794,0.15867227964418726,-0.14210973784392164,0.13128187534214567,2.105113249101425,0.0837182805278627
Holmberg_II_X-1,HR,UVW1,False,False,-0.44989510384829684,0.08461925617580653,-0.7535184569047967,0.1452851091801627,3.4160323973298006,0.0683842174977464
Holmberg_II_X-1,HR,UVW1,True,False,-0.44905279789531743,0.08434845127535379,-0.7519872588010806,0.14504134406040992,3.415168279055519,0.06841332081328184
Holmberg_II_X-1,SOFT,U,False,False,0.07026517257336275,0.04549852055896001,0.3575176108757234,0.23158054493690772,4.584553728079833,0.024364735876216785
Holmberg_II_X-1,SOFT,U,True,False,0.07027144594272136,0.046368852317102895,0.3574765387518621,0.23592782513496866,4.584650163578136,0.024707982793368624
Holmberg_II_X-1,SOFT,UVM2,False,False,0.1230541140314663,0.09376383390650114,0.5318915172574828,0.40962028078563334,1.9399243245501896,0.05161408765961199
Holmberg_II_X-1,SOFT,UVM2,True,False,0.06550913439938416,0.10429343118363539,0.2765756434863356,0.45206197137811105,1.9795453450159817,0.057819348131085996
Holmberg_II_X-1,SOFT,UVW1,False,False,0.10480814201965231,0.04152841310825431,0.7224361666977129,0.2906028916536515,2.978677870630881,0.027175779389199118
