Galaxy_Name,Galaxy_RA,Galaxy_DEC,n_obs,n_obs_uvot,n_obs_xrt,total_uvot_exp,total_xrt_exp
NGC0151                ,8.511672,-9.7053003,20,19,20,42399.956,42723.267
NGC5687                ,218.7182535,54.4757598,20,19,20,54300.14200000001,57405.912000000004
NGC3269                ,157.48776600000002,-35.2244111,20,20,20,24225.078,25743.212000000003
NGC6943                ,311.1402405,-68.7478986,20,19,20,33864.992000000006,35351.752
NGC3841                ,176.0090535,19.9718771,19,17,19,22870.005000000005,23206.097999999998
UGC07049               ,181.0395735,20.1846302,19,3,18,22503.903,25833.801999999996
UGC06483               ,172.2598305,17.2319433,19,19,19,49979.827000000005,51102.17700000001
PGC043458              ,192.622542,-10.8544028,19,19,19,44449.229999999996,45376.615
NGC6942                ,310.15763549999997,-54.3030506,19,19,19,36372.69,38131.54
NGC4236                ,184.1755,69.46258333333333,19,18,19,17968.595999999998,18967.357999999997
NGC5153                ,201.976281,-29.6179804,19,3,18,1637.087,2467.8179999999998
NGC4394                ,186.4818195,18.214115,19,18,19,31895.647,34327.087
IC0438                 ,88.250313,-17.8760556,19,19,19,40075.159,40906.628
ESO179-013             ,251.8333335,-57.4411111,19,19,19,13061.741,13140.935
IC5052                 ,313.0232083333333,-69.2016388888889,18,18,18,14596.344000000001,14796.6
NGC4722                ,192.88495799999998,-13.3300417,18,17,18,19342.097999999998,19414.312
PGC132593              ,344.4459855,-36.8538058,18,18,18,35004.496999999996,36032.937000000005
PGC065678              ,313.541661,-69.0402819,18,18,18,14596.344000000001,14796.6
PGC052940              ,222.377685,-10.1751221,18,17,18,12623.094000000001,13035.124
PGC052935              ,222.38725050000002,-10.1641667,18,17,18,12623.094000000001,13035.124
NGC3185                ,154.4107005,21.6883195,18,18,18,24277.34,24579.522999999997
NGC7640                ,350.527416,40.8454167,18,18,18,12108.697999999999,12420.603
NGC2235                ,95.591916,-64.9340278,18,13,18,20515.031000000003,23775.475000000002
NGC7252                ,335.1862365,-24.6782126,18,18,18,22763.771999999997,23006.286
NGC7064                ,322.2626055,-52.7675742,18,17,18,12589.825,12940.269
NGC3938                ,178.2058515,44.1207736,18,18,18,28850.55,29651.417
NGC0315                ,14.453676,30.3523544,18,14,18,31404.599000000002,50938.977
NGC5985                ,234.9044805,59.3319842,18,18,18,8717.067000000001,8836.722000000002
IC0712                 ,173.7054165,49.077708,18,18,18,15577.622000000001,15823.688000000002
NGC4472                ,187.444536,7.999724,18,18,18,27141.884000000002,27465.143
UGC02916               ,60.640959,71.7059167,18,18,18,47121.94899999999,47569.187999999995
NGC7456                ,345.5431815,-39.5694186,18,18,18,60627.01000000001,60684.62699999999
NGC1589                ,67.689672,0.8635097,18,18,18,38721.594000000005,38848.572
NGC5047                ,198.952215,-16.5188428,17,17,17,17248.059,17516.877000000004
NGC5152                ,201.9632865,-29.6188132,17,3,16,1637.087,2357.7490000000003
UGC05216               ,146.3443785,9.7674649,17,16,17,12823.693000000001,13341.407
NGC4224                ,184.140759,7.4620827,17,17,17,25161.852,25454.262
NGC3274                ,158.07183,27.6687876,17,16,17,13776.562000000002,14070.208
NGC6118                ,245.45262749999998,-2.2834505,17,17,17,34732.746,35992.526
NGC7318B               ,338.993334,33.9660278,17,17,17,61621.24999999999,58933.33500000001
NGC7318A               ,338.987985,33.9656045,17,17,17,61621.24999999999,58933.33500000001
NGC7319                ,339.01503,33.9759184,17,17,17,61621.24999999999,58933.33500000001
NGC2466                ,116.316687,-71.4104306,17,17,17,37113.570999999996,38007.049999999996
ESO300-014             ,47.409333000000004,-41.0320833,17,17,17,14110.862,14291.733
NGC7320                ,339.014202,33.9481578,17,17,17,61621.24999999999,58933.33500000001
NGC4096                ,181.5047595,47.4784538,17,17,17,23707.162999999997,24167.909000000003
ESO381-020             ,191.501643,-33.8381248,17,17,17,18576.752,18871.654
NGC3137                ,152.2809555,-29.064169,17,17,17,13086.038999999999,13388.187
NGC1672                ,71.4271395,-59.2473109,17,17,17,37436.549,37721.554
NGC4080                ,181.21593,26.9925556,17,17,17,17474.869999999995,19044.739
NGC3521                ,166.453122,-0.0347594,17,17,17,14384.870999999997,14704.615
NGC7753                ,356.770119,29.4834161,17,17,17,25730.863999999994,26465.766
NGC7418                ,344.1506235,-37.0300048,17,17,17,37813.109,39025.86
NGC6984                ,314.47491599999995,-51.8708472,16,15,16,19267.176,20776.845
NGC4168                ,183.071931,13.2051931,16,16,16,25187.622,25711.398999999998
NGC3962                ,178.6670595,-13.9749552,16,16,16,40539.549999999996,40612.992
NGC3310                ,159.6911745,53.5033384,16,16,16,35274.79,36038.84
NGC5838                ,226.359564,2.0994673,16,16,16,29298.52,29922.993000000002
ESO336-009             ,280.283091,-41.7949613,16,16,16,31147.242999999995,31806.828
ESO443-080             ,197.7899085,-28.010316,16,16,16,14348.860999999999,14658.323999999999
NGC0520                ,21.146187,3.7923901,16,16,16,37005.742,37804.441000000006
NGC5033                ,198.364629,36.5937669,16,15,16,28950.152000000002,30057.786
NGC5468                ,211.6454295,-5.4529933,16,16,16,22997.697,23396.139000000003
PGC008726              ,34.3307055,-5.4806651,16,16,16,54612.497,54795.446
PGC702439              ,204.8369055,-31.6775933,16,16,16,16765.883,17011.927
NGC0541                ,21.4346475,-1.379486,15,14,15,24430.567000000003,25688.568
NGC6868                ,302.475177,-48.3795056,15,15,14,14057.691000000003,13945.484999999999
NGC2976                ,146.81461050000001,67.9162633,15,15,15,13990.125999999998,14285.302999999998
NGC3318                ,159.31464,-41.6275552,15,15,15,29578.273000000005,31069.588000000003
PGC071454              ,351.6949905,26.602864,15,15,14,104785.81499999999,102624.60200000003
NGC1232A               ,47.50848,-20.6000395,15,15,15,37710.95300000001,38745.07699999999
UGC04956               ,140.0090385,1.0382932,15,14,15,11712.721999999998,11956.661
ESO158-003             ,71.5724415,-57.3434428,15,15,15,43630.683999999994,44268.79699999999
NGC5506                ,213.311946,-3.207593,15,15,15,35578.625,34460.103
NGC6870                ,302.5451505,-48.2869373,15,15,14,14057.691000000003,13945.484999999999
PGC062437              ,282.0332505,-63.2098056,14,14,14,21173.432,21108.379000000004
NGC0545                ,21.49644,-1.3401635,14,13,14,21670.428000000004,22909.876999999997
ESO104-014             ,282.092742,-63.2175668,14,14,14,21119.084000000003,21054.454
NGC3278                ,157.8974625,-39.9546454,14,14,14,46342.555,46796.79200000001
NGC3801                ,175.0706685,17.7278826,14,14,14,52432.227000000006,52924.023
NGC1003                ,39.8195985,40.8724963,14,14,14,13354.597,13717.509
NGC4204                ,183.8103765,20.6587139,14,14,14,11904.379,12075.575
ESO207-007             ,102.66410099999999,-52.1420985,14,14,14,14293.136,14520.447999999997
NGC1366                ,53.4735795,-31.1941097,14,14,14,43118.725,43692.48399999999
NGC4449                ,187.04626050000002,44.093628,14,14,14,24408.910000000003,24732.373999999996
UGC02855               ,57.086388,70.1328806,14,14,14,34797.12,43521.326
UGC02866               ,57.561958499999996,70.0946944,14,14,14,34797.12,43521.326
NGC2357                ,109.4207205,23.3566929,14,14,14,29261.174,29983.371000000003
IC0170                 ,27.9897285,-8.5176682,14,14,14,35798.736000000004,35869.232
NGC0547                ,21.50268,-1.3451745,14,13,14,21670.428000000004,22909.876999999997
ESO104-007             ,281.824959,-63.359391,13,13,13,20818.787999999997,20739.704
PGC011199              ,44.439873,5.9528438,13,13,13,12512.201,12603.187
NGC3901                ,175.704864,77.3730067,13,13,13,18827.792,20937.008
NGC7096                ,325.3303545,-63.9087083,13,12,12,26762.648999999998,27524.658
NGC1729                ,75.0653745,-3.3525,13,13,13,44283.38,45531.941999999995
NGC5018                ,198.25419,-19.5182358,13,13,13,17584.006999999998,19168.353
NGC5135                ,201.433419,-29.8335001,13,13,13,6816.710999999999,6644.758
ESO531-006             ,323.738115,-24.694799,13,11,13,126757.765,129694.19500000002
NGC0192                ,9.805866,0.8641204,13,13,13,23186.046,23333.844999999998
NGC2276                ,111.804396,85.7513925,13,13,13,19877.579,20384.524
NGC2300                ,113.085333,85.7088611,13,13,13,19877.579,20384.524
NGC5022                ,198.378225,-19.5466187,13,13,13,17584.006999999998,19168.353
NGC5046                ,198.9379995,-16.3266667,13,13,13,10874.618,10948.443000000001
ESO576-008             ,198.07878,-19.4459836,13,12,13,17238.002999999997,18913.928
NGC0196                ,9.824343,0.9127812,13,13,13,23186.046,23333.844999999998
NGC0201                ,9.8951715,0.8599237,13,13,13,23186.046,23333.844999999998
NGC5395                ,209.65821,37.4244981,13,13,13,9849.340999999999,9934.692000000001
NGC7619                ,350.0605005,8.2062778,13,13,13,9815.657999999998,9978.346000000001
IC4766                 ,281.89875,-63.2919444,13,13,13,20818.787999999997,20739.704
NGC0499                ,20.79798,33.4603155,13,13,13,12381.472000000002,11356.302
NGC2748                ,138.429291,76.4753333,13,13,13,18682.945,19297.433
PGC134307              ,323.75838899999997,-24.6943507,13,11,13,126757.765,129694.19500000002
NGC2835                ,139.470327,-22.3545759,13,13,13,18411.352000000003,18903.260000000002
NGC0543                ,21.458208,-1.2928056,13,13,13,21670.428000000004,21939.559999999998
NGC5775                ,223.489992,3.5442626,12,11,12,60415.564000000006,62804.216
