,source_name,n_obs,n_obs_uvot,n_obs_xrt,total_uvot_exp,total_xrt_exp
27,SMC_X-3,1689,1654,1683,1021022.2819999999,1037537.5029999998
6,[LM2005]_NGC_3031_ULX1,830,820,826,1003405.3920000001,1009987.286
38,[LB2005]_NGC_3031_X6,823,813,819,991891.412,998278.7289999999
1,NAME_Holmberg_IX_X-1,823,813,819,992612.977,999007.6749999999
3,M31_ULX-1,730,725,728,1952676.3579999998,1987558.768
0,ESO_243-49_HLX-1,628,625,628,1192674.077,1193174.704
20,NAME_NGC_5907_ULX,555,549,554,974102.164,978071.9639999999
10,NAME_NGC_1313_X-2,518,507,516,612163.816,615632.658
9,NAME_NGC_1313_X-1,518,507,516,612163.816,615632.658
17,[LM2005]_NGC_5408_ULX1,504,150,502,143469.58000000002,708356.5920000001
7,M82_X-2,446,445,446,882180.154,897009.914
24,NAME_NGC_7793_P13,351,349,351,574311.237,576492.533
5,RX_J133001+47137,313,299,313,577110.769,588707.939
15,[LM2005]_NGC_4395_ULX1,261,257,261,337114.821,353223.409
2,Holmberg_II_X-1,234,232,234,290270.695,291258.047
31,NOVA_Cyg_1989,201,194,198,411799.653,416884.101
11,[LM2005]_NGC_247_ULX1,185,183,185,290752.801,292551.569
29,SWIFT_J0243.6+6124,184,170,181,273600.29699999996,313927.97699999996
18,[SRW2006b]_NGC_55_ULX,176,173,176,257562.261,262961.659
14,NAME_NGC_300_ULX1,164,162,164,573871.8,581188.0190000001
34,NAME_NGC_1365-X1,145,143,144,310850.351,323995.763
35,[SK2009]_X2,145,143,144,310850.351,323995.763
36,NAME_IC_10_X-1,130,130,130,263989.52999999997,271166.163
37,[WMR2006]_NGC4945_XMM1,130,101,129,129285.03399999999,164830.592
22,[LB2005]_NGC_6946_ULX3,113,111,113,141305.918,147509.77899999998
21,[LB2005]_NGC_6946_ULX1,110,108,110,138000.434,144199.66100000002
33,NAME_M83_ULX-1,103,100,101,174940.67299999998,174451.39500000002
32,[LB2005]_NGC_5236_X11,102,99,100,173671.32499999998,173694.22300000006
39,[LM2005]_NGC_4559_ULX1,100,100,100,160398.50299999997,161547.13
26,NAME_NGC_925_ULX-2,99,98,99,204943.4,205036.765
25,NAME_NGC_925_ULX-1,99,98,99,204943.4,205036.765
16,[LM2005]_NGC_5204_ULX1,68,68,68,161514.332,161681.341
4,[LM2005]_NGC_598_ULX1,51,51,51,217032.547,217950.21899999998
28,SS433,43,33,43,57676.978,64746.133
8,[LM2005]_NGC_1042_ULX1,41,41,41,112553.47499999999,114402.929
12,[LB2005]_NGC_253_X2,39,39,39,40188.137,40359.82
13,[LB2005]_NGC_253_X9,38,38,38,40032.54000000001,40199.37299999999
30,NAME_UGC_6456_ULX,35,35,35,53704.695999999996,53783.331000000006
23,NAME_NGC_7090_ULX3,34,34,34,95250.40400000001,96919.05
19,[SST2011]_J141939.39+564137.8,20,20,20,22551.367000000002,22872.918999999998
