source_name,source_ra,source_dec,n_obs,n_obs_uvot,n_obs_xrt,total_uvot_exp,total_xrt_exp
2CXO J131933.6-123843 ,199.8901444353753,-12.645519419964486,5,5,5,3602.258,3643.4509999999996
2CXO J131931.8-123855 ,199.88285443424502,-12.648854743938237,5,5,5,3602.258,3643.4509999999996
2CXO J131931.6-123925 ,199.88191756781544,-12.656980131699003,5,5,5,3602.258,3643.4509999999996
2CXO J131929.5-124421 ,199.8730510465391,-12.739374307437888,5,5,5,3602.258,3643.4509999999996
2CXO J091047.6+600316 ,137.6985636575232,60.05463828037624,5,5,5,3010.84,3033.5209999999997
2CXO J070907.9+483655 ,107.28324999163726,48.61548374653802,5,5,5,1471.637,1491.031
2CXO J025427.4+413446 ,43.614500386046586,41.579521770659774,5,4,4,4193.259,4229.801
2CXO J161723.9+345816 ,244.34981148244037,34.97133493366213,5,1,5,197.048,21335.657999999996
2CXO J145700.1+243622 ,224.25064794557852,24.60623322869039,5,5,5,11484.948999999999,11535.671
2CXO J121244.5+105113 ,183.18544268965923,10.8537898649308,5,5,5,11051.398,11044.185
2CXO J102553.0+124239 ,156.47113313586033,12.711004290057067,5,5,5,3670.0869999999995,4427.068
2CXO J091405.3+400628 ,138.52222946475996,40.107932400315434,5,5,5,13457.601999999999,13543.946
2CXO J091410.9+400715 ,138.54556609961628,40.120942591909255,5,5,5,13457.601999999999,13543.946
2CXO J024618.2+130549 ,41.576049397906615,13.097167943261901,5,5,5,4554.323,4531.1050000000005
2CXO J075041.1+501030 ,117.67140621905753,50.175242614802386,5,4,5,1910.0629999999999,2342.985
2CXO J145700.6+243703 ,224.25286498793366,24.61754669371379,5,5,5,11484.948999999999,11535.671
2CXO J024340.5+012233 ,40.91888982796053,1.3760588868478827,5,5,5,964.774,972.017
2CXO J024617.2+130540 ,41.57208314734612,13.094628319300448,5,5,5,4554.323,4531.1050000000005
2CXO J024618.0+130537 ,41.57522844864383,13.093757562517442,5,5,5,4554.323,4531.1050000000005
2CXO J095823.4-265519 ,149.59756792293388,-26.922193695597205,4,3,3,2599.709,2624.915
2CXO J231947.2+425109 ,349.9468174023466,42.85264486770193,4,4,4,2735.745,2803.964
2CXO J144804.1+182537 ,222.01725323070207,18.427076147966694,4,4,4,2330.881,2345.011
2CXO J162846.1+252939 ,247.19236091677692,25.49416805207237,4,4,4,5058.132,5397.830999999999
2CXO J095824.1-265523 ,149.60058740436125,-26.923318165136415,4,3,3,2599.709,2624.915
2CXO J232009.1+425810 ,350.03831389294805,42.9696516736544,4,4,4,2735.745,2803.964
2CXO J160450.5+235829 ,241.21057448477177,23.974858829283118,4,3,4,234.803,309.524
2CXO J160456.6+235557 ,241.236036581632,23.932696524763,4,3,4,234.803,309.524
2CXO J110047.9+104337 ,165.19970385567512,10.72705316320947,4,4,4,22168.005999999998,22352.982
2CXO J110057.4+103019 ,165.23924494262008,10.505384954063324,4,4,4,16241.273,16151.849
2CXO J095824.6-265535 ,149.60257311084,-26.926663212200598,4,3,3,2599.709,2624.915
2CXO J110313.0+110417 ,165.80427535895205,11.071559805231207,4,4,4,3236.5730000000003,3111.9339999999997
2CXO J110313.0+110447 ,165.80418894301238,11.079972966584327,4,4,4,3236.5730000000003,3111.9339999999997
2CXO J110313.2+110452 ,165.80506003117398,11.081180918794397,4,4,4,3236.5730000000003,3111.9339999999997
2CXO J110313.6+110458 ,165.80682118033496,11.08290837628869,4,4,4,3236.5730000000003,3111.9339999999997
2CXO J231838.2+425729 ,349.6594716662112,42.95807187065988,4,4,4,2735.745,2803.964
2CXO J011853.6-010007 ,19.723370996291465,-1.0020321338379499,4,4,4,5964.937,6019.933
2CXO J033418.4+392124 ,53.57671733032703,39.35675473599479,4,4,4,2672.823,2736.405
2CXO J144824.6+183101 ,222.10259047904253,18.517083500147642,4,4,4,2330.881,2345.011
2CXO J160459.5+235811 ,241.24799824295962,23.969945418483853,4,3,4,234.803,309.524
2CXO J062456.3+821906 ,96.23479759751274,82.3183697506185,4,4,4,5622.995,5628.645
2CXO J095821.9-265441 ,149.59161310139325,-26.91148163807752,4,3,3,2599.709,2624.915
2CXO J141030.5+544928 ,212.6273247206194,54.82449127944669,4,4,4,2307.679,2312.602
2CXO J142405.9+345331 ,216.02487653065873,34.892145390800515,4,4,4,6366.768,6410.906999999999
2CXO J131659.3+035319 ,199.24745338604737,3.8888227501100356,4,4,4,20181.789,19776.722
2CXO J144043.3+032227 ,220.18050059254676,3.3742500626241307,4,4,4,2414.168,2419.149
2CXO J174454.7-604423 ,266.228186717075,-60.739815091671254,4,4,4,8940.637,9004.595
2CXO J224935.6+113323 ,342.398603381984,11.556418466165573,4,4,4,1837.435,1907.168
2CXO J054219.7+770904 ,85.58212602909214,77.15137741908211,4,4,4,3341.419,3392.7880000000005
2CXO J104925.2+324631 ,162.35529902908138,32.77529483190527,4,4,4,2437.6340000000005,2343.0690000000004
2CXO J102038.4+253018 ,155.16013121780463,25.505104194110043,4,4,4,2880.199,2910.951
2CXO J104827.0+123138 ,162.1128597073863,12.52741756724008,4,4,4,7251.0830000000005,7615.13
2CXO J095827.1-265517 ,149.6130736770724,-26.921424171483658,4,3,3,2599.709,2624.915
2CXO J104826.0+123144 ,162.10867393230524,12.528940664827848,4,4,4,7251.0830000000005,7615.13
2CXO J143357.2+053500 ,218.48868959903234,5.583490711539578,4,4,4,17766.257,17829.982000000004
2CXO J143352.2+052729 ,218.46778555621836,5.458294265734417,4,4,4,17766.257,17829.982000000004
2CXO J111024.4+284319 ,167.60193146092,28.72216216656533,4,4,4,7464.52,8039.089999999999
2CXO J104949.8+325907 ,162.45771279143116,32.98529497974735,4,4,4,2437.6340000000005,2343.0690000000004
2CXO J104952.1+325903 ,162.46740223876554,32.984424109134316,4,4,4,2437.6340000000005,2343.0690000000004
2CXO J111040.2+284108 ,167.66788953264336,28.685666774385858,4,4,4,7464.52,8039.089999999999
2CXO J232359.1+164840 ,350.9962786344979,16.811123907527495,4,4,4,6182.076,6288.573
2CXO J232359.6+165215 ,350.9986309719361,16.87096127538251,4,4,4,6182.076,6288.573
2CXO J095821.8-265417 ,149.59123042838803,-26.904869926938563,4,3,3,2599.709,2624.915
2CXO J163231.9+823216 ,248.13296518186348,82.53786483821905,4,4,4,30026.434999999998,29151.264
2CXO J163244.8+823436 ,248.186845661196,82.57688610895815,4,4,4,30026.434999999998,29151.264
2CXO J163240.4+823436 ,248.16862597782733,82.57684946362615,4,4,4,30026.434999999998,29151.264
2CXO J011900.2-005948 ,19.750933592823174,-0.9968543687506076,4,4,4,5964.937,6019.933
2CXO J104949.7+325838 ,162.4574359222181,32.977335809181014,4,4,4,2437.6340000000005,2343.0690000000004
2CXO J071529.0-292137 ,108.87091720620015,-29.360483339237003,4,4,4,3666.3489999999997,3686.154
2CXO J110312.3+110438 ,165.80128849525374,11.077299878653873,4,4,4,3236.5730000000003,3111.9339999999997
2CXO J123743.5+114905 ,189.43132027213665,11.818205949986009,4,4,4,24716.783,21247.571
2CXO J124252.3+131526 ,190.71829162655968,13.257392293121438,4,4,4,13205.777,13509.641
2CXO J082125.4+210746 ,125.35612189819972,21.129654760480175,4,4,4,1621.8840000000002,1640.049
2CXO J112536.1+542257 ,171.4008128727669,54.3827173212453,4,4,4,20416.32,20527.791999999998
2CXO J123743.2+114901 ,189.4300290410962,11.817071843191156,4,4,4,24716.783,21247.571
2CXO J110929.2+284130 ,167.3719455069472,28.691808445051795,4,4,4,7464.52,8039.089999999999
2CXO J015114.3+223455 ,27.809787430453184,22.582164816486877,4,4,4,2907.626,2927.3199999999997
2CXO J133206.9+624202 ,203.02880554026865,62.70072640875054,4,3,4,1773.035,2481.1000000000004
2CXO J082235.9+205946 ,125.64990431125233,20.99613867834939,4,4,4,3112.95,3149.456
2CXO J000142.9+232935 ,0.42895146290908315,23.493266836476952,4,4,4,2957.902,2985.183
2CXO J000142.3+232941 ,0.42625987491231854,23.494744215839095,4,4,4,2957.902,2985.183
2CXO J135405.3+333508 ,208.52232725890917,33.585824853488475,4,4,4,12445.398,12440.095000000001
2CXO J113542.6+490227 ,173.92760667595132,49.04088228646505,4,4,4,1738.711,1771.043
2CXO J030336.7-153733 ,45.90309475563697,-15.625840475828689,4,4,4,14268.876,13855.306
2CXO J071531.4-292132 ,108.88091279063349,-29.35904283873965,4,4,4,3666.3489999999997,3686.154
2CXO J124251.2+131439 ,190.71345586984046,13.24443614588378,4,4,4,13205.777,13509.641
2CXO J122006.8+291650 ,185.0284703875045,29.280765667973405,4,4,4,5368.397000000001,5386.525000000001
