name,length,N_obs,N_bad,N_good,N_UL,simbad_name,xrt_curve,uvot_filter
tab,31,31,1,30,0,Holmberg_II_X-1,HR,UVM2
tab_5_sig,31,31,1,30,0,Holmberg_II_X-1,HR,UVM2
tab_UL,0,0,0,0,0,Holmberg_II_X-1,HR,UVM2
tab_no_UL,31,31,1,30,0,Holmberg_II_X-1,HR,UVM2
tab_BAD,1,1,1,0,0,Holmberg_II_X-1,HR,UVM2
tab_no_BAD,30,30,0,30,0,Holmberg_II_X-1,HR,UVM2
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,HR,UVM2
tab_no_UL_no_bad,30,30,0,30,0,Holmberg_II_X-1,HR,UVM2
tab,52,52,0,52,0,Holmberg_II_X-1,HR,UVW1
tab_5_sig,48,48,0,48,0,Holmberg_II_X-1,HR,UVW1
tab_UL,0,0,0,0,0,Holmberg_II_X-1,HR,UVW1
tab_no_UL,48,48,0,48,0,Holmberg_II_X-1,HR,UVW1
tab_BAD,0,0,0,0,0,Holmberg_II_X-1,HR,UVW1
tab_no_BAD,48,48,0,48,0,Holmberg_II_X-1,HR,UVW1
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,HR,UVW1
tab_no_UL_no_bad,48,48,0,48,0,Holmberg_II_X-1,HR,UVW1
tab,98,98,0,98,0,Holmberg_II_X-1,SOFT,U
tab_5_sig,98,98,0,98,0,Holmberg_II_X-1,SOFT,U
tab_UL,0,0,0,0,0,Holmberg_II_X-1,SOFT,U
tab_no_UL,98,98,0,98,0,Holmberg_II_X-1,SOFT,U
tab_BAD,0,0,0,0,0,Holmberg_II_X-1,SOFT,U
tab_no_BAD,98,98,0,98,0,Holmberg_II_X-1,SOFT,U
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,SOFT,U
tab_no_UL_no_bad,98,98,0,98,0,Holmberg_II_X-1,SOFT,U
tab,31,31,1,30,0,Holmberg_II_X-1,SOFT,UVM2
tab_5_sig,31,31,1,30,0,Holmberg_II_X-1,SOFT,UVM2
tab_UL,0,0,0,0,0,Holmberg_II_X-1,SOFT,UVM2
