name,length,N_obs,N_bad,N_good,N_UL,simbad_name,xrt_curve,uvot_filter,include_bad,include_UL
tab_UL,4,4,0,4,4,Holmberg_II_X-1,FULL,UVW1,False,False
tab_no_UL,48,48,0,48,0,Holmberg_II_X-1,FULL,UVW1,False,False
tab_BAD,0,0,0,0,0,Holmberg_II_X-1,FULL,UVW1,False,False
tab_no_BAD,52,52,0,52,4,Holmberg_II_X-1,FULL,UVW1,False,False
tab_UL_no_bad,4,4,0,4,4,Holmberg_II_X-1,FULL,UVW1,False,False
tab_no_UL_no_bad,48,48,0,48,0,Holmberg_II_X-1,FULL,UVW1,False,False
tab,52,52,0,52,4,Holmberg_II_X-1,FULL,UVW1,False,True
tab_5_sig,52,52,0,52,4,Holmberg_II_X-1,FULL,UVW1,False,True
tab_UL,4,4,0,4,4,Holmberg_II_X-1,FULL,UVW1,False,True
tab_no_UL,48,48,0,48,0,Holmberg_II_X-1,FULL,UVW1,False,True
tab_BAD,0,0,0,0,0,Holmberg_II_X-1,FULL,UVW1,False,True
tab_no_BAD,52,52,0,52,4,Holmberg_II_X-1,FULL,UVW1,False,True
tab_UL_no_bad,4,4,0,4,4,Holmberg_II_X-1,FULL,UVW1,False,True
tab_no_UL_no_bad,48,48,0,48,0,Holmberg_II_X-1,FULL,UVW1,False,True
tab,52,52,0,52,4,Holmberg_II_X-1,FULL,UVW1,True,False
tab_5_sig,52,52,0,52,4,Holmberg_II_X-1,FULL,UVW1,True,False
tab_UL,4,4,0,4,4,Holmberg_II_X-1,FULL,UVW1,True,False
tab_no_UL,48,48,0,48,0,Holmberg_II_X-1,FULL,UVW1,True,False
tab_BAD,0,0,0,0,0,Holmberg_II_X-1,FULL,UVW1,True,False
tab_no_BAD,52,52,0,52,4,Holmberg_II_X-1,FULL,UVW1,True,False
tab_UL_no_bad,4,4,0,4,4,Holmberg_II_X-1,FULL,UVW1,True,False
tab_no_UL_no_bad,48,48,0,48,0,Holmberg_II_X-1,FULL,UVW1,True,False
tab,52,52,0,52,4,Holmberg_II_X-1,FULL,UVW1,True,True
tab_5_sig,52,52,0,52,4,Holmberg_II_X-1,FULL,UVW1,True,True
tab_UL,4,4,0,4,4,Holmberg_II_X-1,FULL,UVW1,True,True
tab_no_UL,48,48,0,48,0,Holmberg_II_X-1,FULL,UVW1,True,True
tab_BAD,0,0,0,0,0,Holmberg_II_X-1,FULL,UVW1,True,True
tab_no_BAD,52,52,0,52,4,Holmberg_II_X-1,FULL,UVW1,True,True
tab_UL_no_bad,4,4,0,4,4,Holmberg_II_X-1,FULL,UVW1,True,True
tab_no_UL_no_bad,48,48,0,48,0,Holmberg_II_X-1,FULL,UVW1,True,True
tab,46,46,3,43,1,Holmberg_II_X-1,FULL,UVW2,False,False
tab_5_sig,46,46,3,43,1,Holmberg_II_X-1,FULL,UVW2,False,False
tab_UL,1,1,0,1,1,Holmberg_II_X-1,FULL,UVW2,False,False
tab_no_UL,45,45,3,42,0,Holmberg_II_X-1,FULL,UVW2,False,False
tab_BAD,3,3,3,0,0,Holmberg_II_X-1,FULL,UVW2,False,False
tab_no_BAD,43,43,0,43,1,Holmberg_II_X-1,FULL,UVW2,False,False
tab_UL_no_bad,1,1,0,1,1,Holmberg_II_X-1,FULL,UVW2,False,False
tab_no_UL_no_bad,42,42,0,42,0,Holmberg_II_X-1,FULL,UVW2,False,False
tab,46,46,3,43,1,Holmberg_II_X-1,FULL,UVW2,False,True
tab_5_sig,46,46,3,43,1,Holmberg_II_X-1,FULL,UVW2,False,True
tab_UL,1,1,0,1,1,Holmberg_II_X-1,FULL,UVW2,False,True
tab_no_UL,45,45,3,42,0,Holmberg_II_X-1,FULL,UVW2,False,True
tab_BAD,3,3,3,0,0,Holmberg_II_X-1,FULL,UVW2,False,True
tab_no_BAD,43,43,0,43,1,Holmberg_II_X-1,FULL,UVW2,False,True
tab_UL_no_bad,1,1,0,1,1,Holmberg_II_X-1,FULL,UVW2,False,True
tab_no_UL_no_bad,42,42,0,42,0,Holmberg_II_X-1,FULL,UVW2,False,True
tab,46,46,3,43,1,Holmberg_II_X-1,FULL,UVW2,True,False
tab_5_sig,46,46,3,43,1,Holmberg_II_X-1,FULL,UVW2,True,False
tab_UL,1,1,0,1,1,Holmberg_II_X-1,FULL,UVW2,True,False
tab_no_UL,45,45,3,42,0,Holmberg_II_X-1,FULL,UVW2,True,False
tab_BAD,3,3,3,0,0,Holmberg_II_X-1,FULL,UVW2,True,False
tab_no_BAD,43,43,0,43,1,Holmberg_II_X-1,FULL,UVW2,True,False
tab_UL_no_bad,1,1,0,1,1,Holmberg_II_X-1,FULL,UVW2,True,False
tab_no_UL_no_bad,42,42,0,42,0,Holmberg_II_X-1,FULL,UVW2,True,False
tab,46,46,3,43,1,Holmberg_II_X-1,FULL,UVW2,True,True
tab_5_sig,46,46,3,43,1,Holmberg_II_X-1,FULL,UVW2,True,True
tab_UL,1,1,0,1,1,Holmberg_II_X-1,FULL,UVW2,True,True
tab_no_UL,45,45,3,42,0,Holmberg_II_X-1,FULL,UVW2,True,True
tab_BAD,3,3,3,0,0,Holmberg_II_X-1,FULL,UVW2,True,True
tab_no_BAD,43,43,0,43,1,Holmberg_II_X-1,FULL,UVW2,True,True
tab_UL_no_bad,1,1,0,1,1,Holmberg_II_X-1,FULL,UVW2,True,True
tab_no_UL_no_bad,42,42,0,42,0,Holmberg_II_X-1,FULL,UVW2,True,True
tab,98,98,0,98,0,Holmberg_II_X-1,HARD,U,False,False
tab_5_sig,98,98,0,98,0,Holmberg_II_X-1,HARD,U,False,False
tab_UL,0,0,0,0,0,Holmberg_II_X-1,HARD,U,False,False
tab_no_UL,98,98,0,98,0,Holmberg_II_X-1,HARD,U,False,False
tab_BAD,0,0,0,0,0,Holmberg_II_X-1,HARD,U,False,False
tab_no_BAD,98,98,0,98,0,Holmberg_II_X-1,HARD,U,False,False
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,HARD,U,False,False
tab_no_UL_no_bad,98,98,0,98,0,Holmberg_II_X-1,HARD,U,False,False
tab,98,98,0,98,0,Holmberg_II_X-1,HARD,U,True,False
tab_5_sig,98,98,0,98,0,Holmberg_II_X-1,HARD,U,True,False
tab_UL,0,0,0,0,0,Holmberg_II_X-1,HARD,U,True,False
tab_no_UL,98,98,0,98,0,Holmberg_II_X-1,HARD,U,True,False
tab_BAD,0,0,0,0,0,Holmberg_II_X-1,HARD,U,True,False
tab_no_BAD,98,98,0,98,0,Holmberg_II_X-1,HARD,U,True,False
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,HARD,U,True,False
tab_no_UL_no_bad,98,98,0,98,0,Holmberg_II_X-1,HARD,U,True,False
tab,31,31,1,30,0,Holmberg_II_X-1,HARD,UVM2,False,False
tab_5_sig,31,31,1,30,0,Holmberg_II_X-1,HARD,UVM2,False,False
tab_UL,0,0,0,0,0,Holmberg_II_X-1,HARD,UVM2,False,False
tab_no_UL,31,31,1,30,0,Holmberg_II_X-1,HARD,UVM2,False,False
tab_BAD,1,1,1,0,0,Holmberg_II_X-1,HARD,UVM2,False,False
tab_no_BAD,30,30,0,30,0,Holmberg_II_X-1,HARD,UVM2,False,False
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,HARD,UVM2,False,False
tab_no_UL_no_bad,30,30,0,30,0,Holmberg_II_X-1,HARD,UVM2,False,False
tab,31,31,1,30,0,Holmberg_II_X-1,HARD,UVM2,True,False
